distance,shooterRpm,hoodAngleCommanded,turretAngle,batteryVoltage
1.45,1918.8,0,0,12.63
1.95,2043.8,0,0,12.60
2.114639075,2004.7,0,0,12.3
2.114309818,2004.7,0,0,12.3
2.114309818,1957.8,3,0,11.93
3.074231417,2278.3,0,0,12.53
3.074231417,2153.1,3,0,12.46
3.074231417,2082.8,6,0,12.42
3.598913512,2381.1,0,0,12.31
3.598913512,2270.9,3,0,12.23
3.598913512,2200,6,0,12.2
4.09846268,2546.5,0,0,12.11
4.09846268,2420.5,3,0,12.25
4.09846268,2318.1,6,0,12.24
4.618792184,2774.8,0,0,12.12
4.618792184,2601.6,3,0,12.54
4.618792184,2467.7,6,0,12.43
5.118638485,2948,0,0,12.2
5.118638485,2703.9,3,0,12.06
5.118638485,2546.5,6,0,12.05
5.598905764,3200,0,0,12.64
5.598905764,3018.2,3,0,12.55
5.598905764,2703.9,6,0,12.51
